locus_tag	ftype	length_bp	gene	EC_number	COG	product
ATCC700743_02900	CDS	966			COG3385	IS4 family transposase ISPye60
ATCC700743_02901	CDS	234				hypothetical protein
ATCC700743_02902	CDS	735				IS110 family transposase ISAtu7
ATCC700743_02903	CDS	1686	iaaM	1.13.12.3		Tryptophan 2-monooxygenase
ATCC700743_02904	CDS	132				hypothetical protein
ATCC700743_02905	CDS	609				hypothetical protein
ATCC700743_02906	CDS	1161				hypothetical protein
ATCC700743_02907	CDS	615				hypothetical protein
ATCC700743_02908	CDS	348				hypothetical protein
ATCC700743_02909	CDS	420				hypothetical protein
ATCC700743_02910	CDS	1194				IS91 family transposase ISAzo26
ATCC700743_02911	CDS	909				IS91 family transposase ISMno24
ATCC700743_02912	CDS	321				hypothetical protein
ATCC700743_02913	CDS	243				hypothetical protein
ATCC700743_02914	CDS	1629	groL5_1			60 kDa chaperonin 5
ATCC700743_02915	CDS	315	groS5			10 kDa chaperonin 5
ATCC700743_02916	CDS	345				hypothetical protein
ATCC700743_02917	CDS	270				hypothetical protein
ATCC700743_02918	CDS	222				hypothetical protein
ATCC700743_02919	CDS	258				hypothetical protein
ATCC700743_02920	CDS	468	ibpA_3		COG0071	Small heat shock protein IbpA
ATCC700743_02921	CDS	510	hspA_1		COG0071	Spore protein SP21
ATCC700743_02922	CDS	300				hypothetical protein
ATCC700743_02923	CDS	222				hypothetical protein
ATCC700743_02924	CDS	312				hypothetical protein
ATCC700743_02925	CDS	411				hypothetical protein
ATCC700743_02926	CDS	165				hypothetical protein
ATCC700743_02927	CDS	225				hypothetical protein
ATCC700743_02928	CDS	777				hypothetical protein
ATCC700743_02929	CDS	222				hypothetical protein
ATCC700743_02930	CDS	225				hypothetical protein
ATCC700743_02931	CDS	192				hypothetical protein
ATCC700743_02932	CDS	282				hypothetical protein
ATCC700743_02933	CDS	192				hypothetical protein
ATCC700743_02934	CDS	441				hypothetical protein
ATCC700743_02935	CDS	132				hypothetical protein
ATCC700743_02936	CDS	1017	ligC_1	6.5.1.1	COG1793	DNA ligase C1
ATCC700743_02937	CDS	633	lolA_2			Outer-membrane lipoprotein carrier protein
ATCC700743_02938	CDS	225				hypothetical protein
ATCC700743_02939	CDS	3885	rcsC_9	2.7.13.3		Sensor histidine kinase RcsC
ATCC700743_02940	CDS	1062				hypothetical protein
ATCC700743_02941	CDS	183				hypothetical protein
ATCC700743_02942	CDS	210				hypothetical protein
ATCC700743_02943	CDS	222				hypothetical protein
ATCC700743_02944	CDS	210				hypothetical protein
ATCC700743_02945	CDS	204				hypothetical protein
ATCC700743_02946	CDS	300				hypothetical protein
ATCC700743_02947	CDS	351				hypothetical protein
ATCC700743_02948	CDS	1410	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
ATCC700743_02949	CDS	810	cpdA_4	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
ATCC700743_02950	CDS	963	yegS_2	2.7.1.-		lipid kinase YegS
ATCC700743_02951	CDS	636				hypothetical protein
ATCC700743_02952	CDS	1536	kaiC	2.7.11.1	COG0467	Circadian clock protein kinase KaiC
ATCC700743_02953	CDS	1038				hypothetical protein
ATCC700743_02954	CDS	1077		2.7.13.3	COG3920	Blue-light-activated histidine kinase 2
ATCC700743_02955	CDS	225				hypothetical protein
ATCC700743_02956	CDS	816				hypothetical protein
ATCC700743_02957	CDS	1347				hypothetical protein
ATCC700743_02958	CDS	585	rpoE		COG1595	ECF RNA polymerase sigma factor RpoE
ATCC700743_02959	CDS	654	chrR_3		COG3806	Anti-sigma-E factor ChrR
ATCC700743_02960	CDS	825				hypothetical protein
ATCC700743_02961	CDS	1035	tam_4	2.1.1.144		Trans-aconitate 2-methyltransferase
ATCC700743_02962	CDS	591				hypothetical protein
ATCC700743_02963	CDS	411				hypothetical protein
ATCC700743_02964	CDS	1434	phrA_1	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
ATCC700743_02965	CDS	375				hypothetical protein
ATCC700743_02966	CDS	1464				hypothetical protein
ATCC700743_02967	CDS	921	dmlR_6			HTH-type transcriptional regulator DmlR
ATCC700743_02968	CDS	1032		1.3.1.103		2-haloacrylate reductase
ATCC700743_02969	CDS	423				hypothetical protein
ATCC700743_02970	CDS	312	ackA_1	2.7.2.1		Acetate kinase
ATCC700743_02971	CDS	516	pka_1	2.3.1.-	COG0454	Protein lysine acetyltransferase Pka
ATCC700743_02972	CDS	648	fixK_4		COG0664	Nitrogen fixation regulation protein FixK
ATCC700743_02973	CDS	399				hypothetical protein
ATCC700743_02974	CDS	837				hypothetical protein
ATCC700743_02975	CDS	1197				hypothetical protein
ATCC700743_02976	CDS	2364				hypothetical protein
ATCC700743_02977	CDS	708	yknY_1	3.6.3.-	COG1136	Uncharacterized ABC transporter ATP-binding protein YknY
ATCC700743_02978	CDS	648				hypothetical protein
ATCC700743_02979	CDS	555				hypothetical protein
ATCC700743_02980	CDS	198				hypothetical protein
ATCC700743_02981	CDS	540	hspA_2		COG0071	Spore protein SP21
ATCC700743_02982	CDS	447				hypothetical protein
ATCC700743_02983	CDS	912				hypothetical protein
ATCC700743_02984	CDS	1275	mntH_2		COG1914	Divalent metal cation transporter MntH
ATCC700743_02985	CDS	174				hypothetical protein
ATCC700743_02986	CDS	648				hypothetical protein
ATCC700743_02987	CDS	405				hypothetical protein
ATCC700743_02988	CDS	825				hypothetical protein
ATCC700743_02989	CDS	534				hypothetical protein
ATCC700743_02990	CDS	168				hypothetical protein
ATCC700743_02991	CDS	384				hypothetical protein
ATCC700743_02992	CDS	351				hypothetical protein
ATCC700743_02993	CDS	192				hypothetical protein
ATCC700743_02994	CDS	510				hypothetical protein
ATCC700743_02995	CDS	903	arcC1	2.7.2.2	COG0549	Carbamate kinase 1
ATCC700743_02996	CDS	1002	argF_1	2.1.3.3	COG0078	Ornithine carbamoyltransferase
ATCC700743_02997	CDS	1215	arcA_2	3.5.3.6	COG2235	Arginine deiminase
ATCC700743_02998	CDS	1470	arcD		COG0531	Arginine/ornithine antiporter
ATCC700743_02999	CDS	1323				hypothetical protein
ATCC700743_03000	CDS	450				hypothetical protein
ATCC700743_03001	CDS	714				Uncharacterized protein MT2089
ATCC700743_03002	CDS	429				hypothetical protein
ATCC700743_03003	CDS	1278	hemA_1	2.3.1.37	COG0156	5-aminolevulinate synthase
ATCC700743_03004	CDS	612	fixJ			Transcriptional regulatory protein FixJ
ATCC700743_03005	CDS	1464	fixL	2.7.13.3		Sensor protein FixL
ATCC700743_03006	CDS	810				hypothetical protein
ATCC700743_03007	CDS	2670	mgtA_2	3.6.3.2	COG0474	Magnesium-transporting ATPase, P-type 1
ATCC700743_03008	CDS	468				hypothetical protein
ATCC700743_03009	CDS	252				hypothetical protein
ATCC700743_03010	CDS	228				hypothetical protein
ATCC700743_03011	CDS	261				hypothetical protein
ATCC700743_03012	CDS	123				hypothetical protein
ATCC700743_03013	CDS	552				hypothetical protein
ATCC700743_03014	CDS	702				hypothetical protein
ATCC700743_03015	CDS	2382	xpkA	4.1.2.9		Xylulose-5-phosphate phosphoketolase
ATCC700743_03016	CDS	1194	ackA_2	2.7.2.1	COG0282	Acetate kinase
ATCC700743_03017	CDS	516	pka_2	2.3.1.-	COG0454	Protein lysine acetyltransferase Pka
ATCC700743_03018	CDS	642				hypothetical protein
ATCC700743_03019	CDS	174				hypothetical protein
ATCC700743_03020	CDS	984	adhA	1.1.1.1	COG1064	Probable alcohol dehydrogenase AdhA
ATCC700743_03021	CDS	402				hypothetical protein
ATCC700743_03022	CDS	591	azoR_2	1.7.-.-		FMN-dependent NADH-azoreductase
ATCC700743_03023	CDS	387				hypothetical protein
ATCC700743_03024	CDS	450	trxC	1.8.1.8	COG0526	Thioredoxin 2
ATCC700743_03025	CDS	1872	cadA	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
ATCC700743_03026	CDS	225				hypothetical protein
ATCC700743_03027	CDS	2682	pka_3	2.3.1.-	COG0454	Protein lysine acetyltransferase Pka
ATCC700743_03028	CDS	1557				Uncharacterized protein MT2060
ATCC700743_03029	CDS	399				hypothetical protein
ATCC700743_03030	CDS	219				hypothetical protein
ATCC700743_03031	CDS	435				hypothetical protein
ATCC700743_03032	CDS	1101				hypothetical protein
ATCC700743_03033	CDS	1242				hypothetical protein
ATCC700743_03034	CDS	537				hypothetical protein
ATCC700743_03035	CDS	540				hypothetical protein
ATCC700743_03036	CDS	1332				hypothetical protein
ATCC700743_03037	CDS	2424				hypothetical protein
ATCC700743_03038	CDS	501				hypothetical protein
ATCC700743_03039	CDS	2628	pknD	2.7.11.1		Serine/threonine-protein kinase PknD
ATCC700743_03040	CDS	780	phpP	3.1.3.16	COG0631	Protein phosphatase PhpP
ATCC700743_03041	CDS	3528				hypothetical protein
ATCC700743_03042	CDS	1389				hypothetical protein
ATCC700743_03043	CDS	1080				hypothetical protein
ATCC700743_03044	CDS	2328				hypothetical protein
ATCC700743_03045	CDS	444				hypothetical protein
ATCC700743_03046	CDS	336				hypothetical protein
ATCC700743_03047	CDS	930				hypothetical protein
ATCC700743_03048	CDS	960				hypothetical protein
ATCC700743_03049	CDS	1026				hypothetical protein
ATCC700743_03050	CDS	1098				hypothetical protein
ATCC700743_03051	CDS	543				hypothetical protein
ATCC700743_03052	CDS	3543				hypothetical protein
ATCC700743_03053	CDS	1329				hypothetical protein
ATCC700743_03054	CDS	1335				hypothetical protein
ATCC700743_03055	CDS	453				hypothetical protein
ATCC700743_03056	CDS	1461				hypothetical protein
ATCC700743_03057	CDS	1062				hypothetical protein
ATCC700743_03058	CDS	1875				hypothetical protein
ATCC700743_03059	CDS	753				hypothetical protein
ATCC700743_03060	CDS	450	hcpA		COG3157	Major exported protein
ATCC700743_03061	CDS	1506				hypothetical protein
ATCC700743_03062	CDS	537				hypothetical protein
ATCC700743_03063	CDS	1176				hypothetical protein
ATCC700743_03064	CDS	2832	clpB_2		COG0542	Chaperone protein ClpB
ATCC700743_03065	CDS	762	bacC_4	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
ATCC700743_03066	CDS	1284	patA	2.6.1.82	COG4992	Putrescine aminotransferase
ATCC700743_03067	CDS	1005	srkA	2.7.11.1		Stress response kinase A
ATCC700743_03068	CDS	765	fabG_9	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
ATCC700743_03069	CDS	1527				hypothetical protein
ATCC700743_03070	CDS	699	rutB_5	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
ATCC700743_03071	CDS	420	pduE	4.2.1.28	COG4910	Propanediol dehydratase small subunit
ATCC700743_03072	CDS	2271				hypothetical protein
ATCC700743_03073	CDS	987	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
ATCC700743_03074	CDS	858				hypothetical protein
ATCC700743_03075	CDS	927	gltC_2			HTH-type transcriptional regulator GltC
ATCC700743_03076	CDS	906	npcC_1	1.13.11.37		Hydroxyquinol 1,2-dioxygenase
ATCC700743_03077	CDS	960	linE	1.13.11.66		Chlorohydroquinone/hydroquinone 1,2-dioxygenase
ATCC700743_03078	CDS	660				hypothetical protein
ATCC700743_03079	CDS	1065	tfdF	1.3.1.32		Maleylacetate reductase
ATCC700743_03080	CDS	1275				hypothetical protein
ATCC700743_03081	CDS	717	lptB_7	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
ATCC700743_03082	CDS	705	livF_7		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
ATCC700743_03083	CDS	864	livH_8		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
ATCC700743_03084	CDS	1050				hypothetical protein
ATCC700743_03085	CDS	1755	tfdB	1.14.13.20		2,4-dichlorophenol 6-monooxygenase
ATCC700743_03086	CDS	888	npcC_2	1.13.11.37		Hydroxyquinol 1,2-dioxygenase
ATCC700743_03087	CDS	819		1.-.-.-		Uncharacterized oxidoreductase Rv0769
ATCC700743_03088	CDS	1308				hypothetical protein
ATCC700743_03089	CDS	729	lptB_8	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
ATCC700743_03090	CDS	729	livF_8		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
ATCC700743_03091	CDS	864	livH_9		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
ATCC700743_03092	CDS	1026				hypothetical protein
ATCC700743_03093	CDS	1017	gutB_1	1.1.1.14	COG1063	Sorbitol dehydrogenase
ATCC700743_03094	CDS	789			COG0596	Uncharacterized protein Rv2715
ATCC700743_03095	CDS	1221				hypothetical protein
ATCC700743_03096	CDS	549	rutF_2	1.5.1.42		FMN reductase (NADH) RutF
ATCC700743_03097	CDS	750				hypothetical protein
ATCC700743_03098	CDS	1164	dgoD_5	4.2.1.6	COG4948	D-galactonate dehydratase
ATCC700743_03099	CDS	1098	ugpC_12	3.6.3.20	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
ATCC700743_03100	CDS	891	ycjP_4		COG0395	Inner membrane ABC transporter permease protein YcjP
ATCC700743_03101	CDS	960				hypothetical protein
ATCC700743_03102	CDS	1479				hypothetical protein
ATCC700743_03103	CDS	768				hypothetical protein
ATCC700743_03104	CDS	1167		4.2.1.-	COG4948	D-galactonate dehydratase family member SBI_01856
ATCC700743_03105	CDS	1356	dgoD_6	4.2.1.6	COG4948	D-galactonate dehydratase
ATCC700743_03106	CDS	327				hypothetical protein
ATCC700743_03107	CDS	1200		4.2.1.8	COG4948	D-mannonate dehydratase CC2812
ATCC700743_03108	CDS	1497	betB_3	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
ATCC700743_03109	CDS	276				hypothetical protein
ATCC700743_03110	CDS	1098	uctC_2	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
ATCC700743_03111	CDS	1023				hypothetical protein
ATCC700743_03112	CDS	648				hypothetical protein
ATCC700743_03113	CDS	342	dapH_2	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
ATCC700743_03114	CDS	2019	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
ATCC700743_03115	CDS	1086	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
ATCC700743_03116	CDS	765	frcA_5	3.6.3.17	COG1129	Fructose import ATP-binding protein FrcA
ATCC700743_03117	CDS	1005	rbsC_11		COG1172	Ribose import permease protein RbsC
ATCC700743_03118	CDS	990	alsB		COG1879	D-allose-binding periplasmic protein
ATCC700743_03119	CDS	201				hypothetical protein
ATCC700743_03120	CDS	1227	phnM_2	3.6.1.63	COG3454	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
ATCC700743_03121	CDS	993		2.7.1.184		Sulfofructose kinase
ATCC700743_03122	CDS	591	yyaP_3		COG0262	Uncharacterized protein YyaP
ATCC700743_03123	CDS	1011	sigG		COG1595	ECF RNA polymerase sigma factor SigG
ATCC700743_03124	CDS	1035				hypothetical protein
ATCC700743_03125	CDS	2058				hypothetical protein
ATCC700743_03126	CDS	1149	hipO_2	3.5.1.32	COG1473	Hippurate hydrolase
ATCC700743_03127	CDS	456				hypothetical protein
ATCC700743_03128	CDS	444				hypothetical protein
ATCC700743_03129	CDS	861	coxM_1	1.2.5.3		Carbon monoxide dehydrogenase medium chain
ATCC700743_03130	CDS	477	coxS	1.2.5.3		Carbon monoxide dehydrogenase small chain
ATCC700743_03131	CDS	2265	hcrA_2	1.3.7.9		4-hydroxybenzoyl-CoA reductase subunit alpha
ATCC700743_03132	CDS	243				hypothetical protein
ATCC700743_03133	CDS	375				hypothetical protein
ATCC700743_03134	CDS	1443				hypothetical protein
ATCC700743_03135	CDS	375	greA_2		COG0782	Transcription elongation factor GreA
ATCC700743_03136	CDS	1146	ala	1.4.1.1		Alanine dehydrogenase
ATCC700743_03137	CDS	1989				hypothetical protein
ATCC700743_03138	CDS	414				hypothetical protein
ATCC700743_03139	CDS	369				hypothetical protein
ATCC700743_03140	CDS	2265				hypothetical protein
ATCC700743_03141	CDS	180				hypothetical protein
ATCC700743_03142	CDS	2334				hypothetical protein
ATCC700743_03143	CDS	693				hypothetical protein
ATCC700743_03144	CDS	1224				hypothetical protein
ATCC700743_03145	CDS	909	cysL_1		COG0583	HTH-type transcriptional regulator CysL
ATCC700743_03146	CDS	522				hypothetical protein
ATCC700743_03147	CDS	732				hypothetical protein
ATCC700743_03148	CDS	864	qorB_1	1.6.5.2	COG0702	Quinone oxidoreductase 2
ATCC700743_03149	CDS	306	sdpR		COG0640	Transcriptional repressor SdpR
ATCC700743_03150	CDS	432				hypothetical protein
ATCC700743_03151	CDS	393				hypothetical protein
ATCC700743_03152	CDS	222				hypothetical protein
ATCC700743_03153	CDS	429				hypothetical protein
ATCC700743_03154	CDS	129				hypothetical protein
ATCC700743_03155	CDS	312				hypothetical protein
ATCC700743_03156	CDS	1095				hypothetical protein
ATCC700743_03157	CDS	1989	hypBA1	3.2.1.185		Non-reducing end beta-L-arabinofuranosidase
ATCC700743_03158	CDS	858	sugB_4		COG0395	Trehalose transport system permease protein SugB
ATCC700743_03159	CDS	930	ugpA_3		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
ATCC700743_03160	CDS	1206				hypothetical protein
ATCC700743_03161	CDS	1044	ccpA_1		COG1609	Catabolite control protein A
ATCC700743_03162	CDS	1074				hypothetical protein
ATCC700743_03163	tRNA	76				tRNA-Cys(gca)
ATCC700743_03164	CDS	207				hypothetical protein
ATCC700743_03165	CDS	192				hypothetical protein
ATCC700743_03166	CDS	225				hypothetical protein
ATCC700743_03167	CDS	267				hypothetical protein
ATCC700743_03168	CDS	255				hypothetical protein
ATCC700743_03169	CDS	315	groS1_1		COG0234	10 kDa chaperonin 1
ATCC700743_03170	CDS	1629	groL5_2			60 kDa chaperonin 5
ATCC700743_03171	CDS	159				hypothetical protein
ATCC700743_03172	CDS	315				hypothetical protein
ATCC700743_03173	tRNA	91				tRNA-Ser(cga)
ATCC700743_03174	CDS	435	ctb		COG2346	Group 3 truncated hemoglobin ctb
ATCC700743_03175	CDS	870				hypothetical protein
ATCC700743_03176	CDS	1104	nirK	1.7.2.1		Copper-containing nitrite reductase
ATCC700743_03177	CDS	441	pazS			Pseudoazurin
ATCC700743_03178	CDS	696	glxR_1		COG0664	CRP-like cAMP-activated global transcriptional regulator
ATCC700743_03179	CDS	252				hypothetical protein
ATCC700743_03180	CDS	1062	yeiH		COG2855	UPF0324 inner membrane protein YeiH
ATCC700743_03181	CDS	378				hypothetical protein
ATCC700743_03182	CDS	894	pgrR_6			HTH-type transcriptional regulator PgrR
ATCC700743_03183	CDS	396				hypothetical protein
ATCC700743_03184	CDS	339				hypothetical protein
ATCC700743_03185	CDS	375				hypothetical protein
ATCC700743_03186	CDS	990	iolS_3	1.1.1.-	COG0667	Aldo-keto reductase IolS
ATCC700743_03187	CDS	741		1.-.-.-		Uncharacterized oxidoreductase SA2266
ATCC700743_03188	CDS	468				hypothetical protein
ATCC700743_03189	CDS	384				hypothetical protein
ATCC700743_03190	CDS	1434	ald_1	1.2.1.83		3-succinoylsemialdehyde-pyridine dehydrogenase
ATCC700743_03191	CDS	477				hypothetical protein
ATCC700743_03192	CDS	429				hypothetical protein
ATCC700743_03193	CDS	699				hypothetical protein
ATCC700743_03194	CDS	291				hypothetical protein
ATCC700743_03195	CDS	1116	nemA	1.-.-.-	COG1902	N-ethylmaleimide reductase
ATCC700743_03196	CDS	774	glnQ_3			Glutamine transport ATP-binding protein GlnQ
ATCC700743_03197	CDS	675	yecS_5		COG0765	L-cystine transport system permease protein YecS
ATCC700743_03198	CDS	762				hypothetical protein
ATCC700743_03199	CDS	789	fliY_4		COG0834	L-cystine-binding protein FliY
ATCC700743_03200	CDS	1161	lysDH_2	1.4.1.18		Lysine 6-dehydrogenase
ATCC700743_03201	CDS	501				hypothetical protein
ATCC700743_03202	CDS	894	rhaS_6			HTH-type transcriptional activator RhaS
ATCC700743_03203	CDS	723	ucpA_3	1.-.-.-		Oxidoreductase UcpA
ATCC700743_03204	CDS	930	gltC_3			HTH-type transcriptional regulator GltC
ATCC700743_03205	CDS	195				hypothetical protein
ATCC700743_03206	CDS	789				hypothetical protein
ATCC700743_03207	CDS	558		2.3.1.-		Putative acetyltransferase SA2342
ATCC700743_03208	CDS	450	teaD		COG0589	TRAP-T-associated universal stress protein TeaD
ATCC700743_03209	CDS	945				hypothetical protein
ATCC700743_03210	CDS	1533				hypothetical protein
ATCC700743_03211	CDS	582	gpm2	3.1.3.2	COG0406	Acid phosphatase
ATCC700743_03212	CDS	402				hypothetical protein
ATCC700743_03213	CDS	537				hypothetical protein
ATCC700743_03214	CDS	129				hypothetical protein
ATCC700743_03215	CDS	270				hypothetical protein
ATCC700743_03216	CDS	747	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
ATCC700743_03217	CDS	696				hypothetical protein
ATCC700743_03218	CDS	405				hypothetical protein
ATCC700743_03219	CDS	390				hypothetical protein
ATCC700743_03220	CDS	825				hypothetical protein
ATCC700743_03221	CDS	495				hypothetical protein
ATCC700743_03222	CDS	336				hypothetical protein
ATCC700743_03223	CDS	408				hypothetical protein
ATCC700743_03224	CDS	3198	czcA			Cobalt-zinc-cadmium resistance protein CzcA
ATCC700743_03225	CDS	963	mdtA_6			Multidrug resistance protein MdtA
ATCC700743_03226	CDS	201				hypothetical protein
ATCC700743_03227	CDS	1308		1.8.5.4	COG0446	Sulfide-quinone reductase
ATCC700743_03228	CDS	336	hlyU_2		COG0640	Transcriptional activator HlyU
ATCC700743_03229	CDS	885	pdxI	1.1.1.65		Pyridoxine 4-dehydrogenase
ATCC700743_03230	CDS	906	pgrR_7			HTH-type transcriptional regulator PgrR
ATCC700743_03231	CDS	1914				hypothetical protein
ATCC700743_03232	CDS	333				hypothetical protein
ATCC700743_03233	CDS	687	aqpZ			Aquaporin Z
ATCC700743_03234	CDS	423	arsC	1.20.4.1		Arsenate reductase
ATCC700743_03235	CDS	321				hypothetical protein
ATCC700743_03236	CDS	1386				hypothetical protein
ATCC700743_03237	CDS	1296				hypothetical protein
ATCC700743_03238	CDS	627				hypothetical protein
ATCC700743_03239	CDS	828				hypothetical protein
ATCC700743_03240	CDS	885				hypothetical protein
ATCC700743_03241	CDS	699				hypothetical protein
ATCC700743_03242	CDS	948	rbsB_5		COG1879	Ribose import binding protein RbsB
ATCC700743_03243	CDS	1596	rbsA_6	3.6.3.17	COG1129	Ribose import ATP-binding protein RbsA
ATCC700743_03244	CDS	1017	rbsC_12		COG1172	Ribose import permease protein RbsC
ATCC700743_03245	CDS	579				hypothetical protein
ATCC700743_03246	CDS	1266				hypothetical protein
ATCC700743_03247	CDS	582				hypothetical protein
ATCC700743_03248	CDS	597				hypothetical protein
ATCC700743_03249	CDS	582				hypothetical protein
ATCC700743_03250	CDS	363				hypothetical protein
ATCC700743_03251	CDS	303				hypothetical protein
ATCC700743_03252	CDS	705				hypothetical protein
ATCC700743_03253	CDS	678				hypothetical protein
ATCC700743_03254	CDS	327				hypothetical protein
ATCC700743_03255	CDS	282				hypothetical protein
ATCC700743_03256	CDS	702				hypothetical protein
ATCC700743_03257	CDS	285				hypothetical protein
ATCC700743_03258	CDS	594				hypothetical protein
ATCC700743_03259	CDS	303				hypothetical protein
ATCC700743_03260	CDS	1971				hypothetical protein
ATCC700743_03261	CDS	498				hypothetical protein
ATCC700743_03262	CDS	306				hypothetical protein
ATCC700743_03263	CDS	828	ydcV_7			Inner membrane ABC transporter permease protein YdcV
ATCC700743_03264	CDS	1281				hypothetical protein
ATCC700743_03265	CDS	1053				hypothetical protein
ATCC700743_03266	CDS	1134	potA_8	3.6.3.31	COG3842	Spermidine/putrescine import ATP-binding protein PotA
ATCC700743_03267	CDS	1431	hisC_2	2.6.1.9		Histidinol-phosphate aminotransferase
ATCC700743_03268	CDS	1263	dadA1_3	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
ATCC700743_03269	CDS	588				hypothetical protein
ATCC700743_03270	CDS	816				hypothetical protein
ATCC700743_03271	CDS	1005				Zinc-type alcohol dehydrogenase-like protein SA1988
ATCC700743_03272	CDS	672	rspR_3		COG1802	HTH-type transcriptional repressor RspR
ATCC700743_03273	CDS	765				hypothetical protein
ATCC700743_03274	CDS	171				hypothetical protein
ATCC700743_03275	CDS	600				hypothetical protein
ATCC700743_03276	CDS	369				hypothetical protein
ATCC700743_03277	CDS	246				hypothetical protein
ATCC700743_03278	CDS	294				hypothetical protein
ATCC700743_03279	CDS	2109	katE	1.11.1.6		Catalase C
ATCC700743_03280	CDS	216				hypothetical protein
ATCC700743_03281	CDS	1032	ghrB_2	1.1.1.81		Glyoxylate/hydroxypyruvate reductase B
ATCC700743_03282	CDS	1056	kdgR_2		COG1609	HTH-type transcriptional regulator KdgR
ATCC700743_03283	CDS	855		5.1.3.31	COG1082	L-ribulose 3-epimerase
ATCC700743_03284	CDS	1185				hypothetical protein
ATCC700743_03285	CDS	1524				hypothetical protein
ATCC700743_03286	CDS	2088				hypothetical protein
ATCC700743_03287	CDS	1335				hypothetical protein
ATCC700743_03288	CDS	1263				hypothetical protein
ATCC700743_03289	CDS	1170				hypothetical protein
ATCC700743_03290	CDS	1182	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
ATCC700743_03291	CDS	1302				hypothetical protein
ATCC700743_03292	CDS	1230				hypothetical protein
ATCC700743_03293	CDS	1224				hypothetical protein
ATCC700743_03294	CDS	315				hypothetical protein
ATCC700743_03295	CDS	177				hypothetical protein
ATCC700743_03296	CDS	225				hypothetical protein
ATCC700743_03297	CDS	2502	ligD_4		COG1793	Multifunctional non-homologous end joining protein LigD
ATCC700743_03298	CDS	909	ku_2		COG1273	Non-homologous end joining protein Ku
ATCC700743_03299	CDS	1125				hypothetical protein
ATCC700743_03300	CDS	645				hypothetical protein
ATCC700743_03301	CDS	771	xthA_2	3.1.11.2	COG0708	Exodeoxyribonuclease III
ATCC700743_03302	CDS	1596				hypothetical protein
ATCC700743_03303	CDS	534				hypothetical protein
ATCC700743_03304	CDS	1245	atzC	3.5.4.42		N-isopropylammelide isopropyl amidohydrolase
ATCC700743_03305	CDS	1188				hypothetical protein
ATCC700743_03306	CDS	207				hypothetical protein
ATCC700743_03307	CDS	741				hypothetical protein
ATCC700743_03308	CDS	243				hypothetical protein
ATCC700743_03309	CDS	300				hypothetical protein
ATCC700743_03310	CDS	867	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
ATCC700743_03311	CDS	696				IS110 family transposase ISCc2
ATCC700743_03312	CDS	906	htrA_3	3.4.21.107	COG0265	Serine protease Do-like HtrA
ATCC700743_03313	CDS	990	gltR		COG0583	HTH-type transcriptional regulator GltR
ATCC700743_03314	CDS	843	fabG_10	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
ATCC700743_03315	CDS	456				hypothetical protein
ATCC700743_03316	CDS	474				hypothetical protein
ATCC700743_03317	CDS	612				hypothetical protein
ATCC700743_03318	CDS	600				hypothetical protein
ATCC700743_03319	CDS	630	yfcG_3	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
ATCC700743_03320	CDS	699	phaB_2	1.1.1.36		Acetoacetyl-CoA reductase
ATCC700743_03321	CDS	630				hypothetical protein
ATCC700743_03322	CDS	348				hypothetical protein
ATCC700743_03323	CDS	312				hypothetical protein
ATCC700743_03324	CDS	1623	yheS_2		COG0488	Uncharacterized ABC transporter ATP-binding protein YheS
ATCC700743_03325	CDS	1539				hypothetical protein
ATCC700743_03326	CDS	1230	lldD_3	1.1.-.-	COG1304	L-lactate dehydrogenase
ATCC700743_03327	CDS	639				hypothetical protein
